,Unnamed: 0,Data,PRECIP. TOTAL (mm),PRESSÃO ATM. (mB),PRESSÃO MAX. (mB),PRESSÃO MIN. (mB),RADIAÇÃO GLOBAL (KJ/m²),TEMP. AR (°C),TEMP. ORVALHO (°C),TEMP. MÁX. (°C),TEMP. MÍN. (°C),TEMP. ORVALHO MAX. (°C),TEMP. ORVALHO MIN. (°C),UMID. REL. MAX. (%),UMID. REL. MIN. (%),UMID. REL. AR (%),DIREÇÃO VENTO (°),RAJADA VENTO (m/s),VEL. VENTO (m/s)
5029,5029,2015-10-09,0.0999999999999999,950.1125,950.3583333333332,949.775,-3997.5291666666662,25.8375,20.28333333333333,26.53333333333333,25.27916666666667,20.841666666666665,19.7375,75.16666666666667,68.625,72.16666666666667,186.5,5.333333333333333,2.2875
5030,5030,2015-10-10,0.0249999999999999,953.8416666666668,954.1,953.3958333333334,-4346.754166666667,20.98333333333333,18.691666666666663,21.525,20.758333333333333,19.016666666666666,18.525,88.16666666666667,84.875,87.0,229.45833333333331,4.304166666666666,1.6833333333333331
5031,5031,2015-10-11,0.0083333333333333,955.6708333333332,955.9125,955.4083333333332,-4372.620833333333,17.045833333333334,15.420833333333334,17.412499999999998,16.833333333333332,15.733333333333334,15.2625,91.5,88.875,90.25,201.79166666666663,5.391666666666667,2.829166666666667
5032,5032,2015-10-12,0.0,956.675,957.0833333333334,956.3333333333334,-3960.179166666667,15.683333333333332,13.829166666666666,16.0,15.35,14.091666666666669,13.625,90.66666666666669,87.54166666666667,89.0,119.54166666666669,7.270833333333333,3.758333333333333
5033,5033,2015-10-13,0.0,953.9041666666668,954.3083333333334,953.6875,-3608.1041666666665,20.7625,15.575,21.2875,19.995833333333334,15.920833333333334,15.116666666666667,78.0,73.04166666666667,75.04166666666667,83.04166666666667,6.05,3.0083333333333333
5034,5034,2015-10-14,0.0,950.5416666666666,950.8291666666668,950.3333333333334,-3554.7916666666665,27.429166666666664,17.595833333333335,28.016666666666666,26.604166666666668,18.20833333333333,17.195833333333333,60.708333333333336,55.208333333333336,57.41666666666666,37.04166666666666,7.429166666666667,3.4916666666666667
5035,5035,2015-10-15,0.0,950.1333333333332,950.3416666666668,949.8333333333334,-3555.2916666666665,28.90833333333333,17.841666666666665,29.575,28.27916666666667,18.375,17.370833333333334,55.25,49.958333333333336,52.583333333333336,111.625,7.35,3.633333333333333
5036,5036,2015-10-16,0.0,952.35,952.5916666666668,952.0916666666668,-3592.9375,29.2125,17.866666666666667,29.979166666666668,28.479166666666668,18.53333333333333,17.158333333333335,55.208333333333336,49.083333333333336,52.333333333333336,165.41666666666666,4.808333333333334,2.270833333333333
5037,5037,2015-10-17,0.0,953.1375,953.4083333333332,952.8166666666666,-3670.9166666666665,29.85833333333333,17.566666666666666,30.8625,28.929166666666664,18.2875,16.7,53.708333333333336,45.708333333333336,50.04166666666666,105.25,6.0625,3.1750000000000003
5038,5038,2015-10-18,0.0,953.575,953.8625,953.3291666666668,-3525.7041666666664,29.20833333333333,18.65833333333333,29.766666666666666,28.566666666666663,19.3125,18.179166666666667,59.958333333333336,54.833333333333336,57.04166666666666,96.45833333333331,9.379166666666666,5.4125000000000005
5039,5039,2015-10-19,0.0,951.2125,951.5541666666668,951.0166666666668,-3592.491666666667,29.204166666666666,18.54583333333333,29.89583333333333,28.53333333333333,19.041666666666668,18.08333333333333,57.04166666666666,51.54166666666666,54.458333333333336,83.70833333333333,8.666666666666666,4.166666666666667
5040,5040,2015-10-20,0.0,950.0541666666668,950.2458333333334,949.7916666666666,-3659.3,29.629166666666663,20.275,30.229166666666668,29.09166666666667,20.829166666666666,19.9,61.29166666666666,56.375,58.54166666666666,144.375,6.154166666666666,3.1625
5041,5041,2015-10-21,0.0,950.1791666666668,950.475,949.9583333333334,-3621.0125,29.883333333333336,18.591666666666665,30.5375,29.39583333333333,19.183333333333334,18.2375,54.0,49.875,51.875,124.75,6.954166666666667,3.3375000000000004
5042,5042,2015-10-22,0.0,949.3541666666666,949.5666666666666,949.1166666666668,-3662.441666666667,30.3625,18.279166666666665,31.058333333333334,29.729166666666668,18.85833333333333,17.916666666666668,52.41666666666666,47.5,49.79166666666666,129.5,6.275,2.7875
5043,5043,2015-10-23,0.0,951.3541666666666,951.6958333333332,950.9083333333332,-3911.804166666667,26.666666666666668,17.345833333333335,27.566666666666663,26.09583333333333,17.820833333333333,16.8875,59.54166666666666,53.5,56.958333333333336,87.95833333333333,8.529166666666667,4.895833333333333
5044,5044,2015-10-24,0.0,953.0625,953.3666666666668,952.8166666666666,-3699.7083333333335,26.39583333333333,16.504166666666666,26.991666666666664,25.629166666666663,16.98333333333333,15.9625,60.5,54.458333333333336,57.208333333333336,123.33333333333331,6.445833333333333,3.3833333333333333
5045,5045,2015-10-25,0.0,951.725,952.0375,951.4208333333332,-3538.116666666667,28.120833333333334,17.991666666666667,28.879166666666663,27.454166666666666,18.55,17.462500000000002,58.583333333333336,53.25,56.16666666666666,65.20833333333333,9.908333333333331,5.070833333333334
5046,5046,2015-10-26,0.6666666666666666,952.7333333333332,953.0125,952.3333333333334,-4153.075,24.59583333333333,19.141666666666666,25.445833333333336,23.85833333333333,19.6625,18.67083333333333,75.875,68.375,72.41666666666667,84.04166666666667,7.1625000000000005,3.5541666666666667
5047,5047,2015-10-27,0.3,952.4416666666666,952.8,952.1875,-4066.7958333333336,24.02916666666667,20.679166666666667,24.666666666666668,23.5375,21.02083333333333,20.383333333333333,84.5,79.875,82.45833333333333,153.0,5.733333333333333,2.6
5048,5048,2015-10-28,0.0,952.1833333333334,952.4333333333334,951.9291666666668,-3635.775,24.9375,19.945833333333333,25.39583333333333,24.325,20.454166666666666,19.433333333333334,79.08333333333333,73.70833333333333,76.0,205.33333333333331,4.425,1.875
5049,5049,2015-10-29,0.0,951.7333333333332,952.0291666666668,951.4583333333334,-3541.4541666666664,27.195833333333336,19.441666666666663,27.816666666666663,26.4125,19.95,18.941666666666663,67.75,62.04166666666666,64.70833333333333,94.79166666666669,6.404166666666666,3.4916666666666667
5050,5050,2015-10-30,0.2333333333333333,950.7125,951.0291666666668,950.4458333333332,-3970.225,26.54583333333333,19.8625,27.316666666666663,25.90833333333333,20.308333333333334,19.325,70.41666666666667,63.208333333333336,67.25,123.83333333333331,6.7625,2.970833333333333
5051,5051,2015-10-31,2.15,950.325,950.625,950.0166666666668,-3863.241666666667,22.445833333333336,20.8875,22.925,22.079166666666666,21.229166666666668,20.59583333333333,92.25,89.08333333333333,91.0,151.29166666666666,4.075,1.5208333333333333
5052,5052,2015-11-01,0.075,950.2166666666668,950.5166666666668,949.9791666666666,-3667.941666666667,24.90833333333333,20.433333333333334,25.42083333333333,24.325,20.9375,19.933333333333334,80.875,75.58333333333333,78.08333333333333,169.54166666666666,4.033333333333333,1.6416666666666666
5053,5053,2015-11-02,2.25,950.2416666666668,950.5125,949.9208333333332,-4175.175,23.5125,20.383333333333333,24.27083333333333,22.9625,20.829166666666666,20.041666666666668,85.66666666666667,80.16666666666667,83.375,190.0,4.333333333333333,1.8
5054,5054,2015-11-03,0.0083333333333333,951.3791666666666,951.6291666666666,951.0541666666668,-3628.804166666667,24.058333333333334,20.2625,24.5125,23.445833333333336,20.691666666666663,19.725,83.25,78.66666666666667,80.875,148.04166666666666,3.675,1.35
5055,5055,2015-11-04,0.3333333333333333,952.3333333333334,952.5625,952.0458333333332,-3924.2625,24.2625,20.73333333333333,24.9375,23.870833333333334,21.17083333333333,20.204166666666666,84.04166666666667,77.5,81.45833333333333,144.45833333333334,4.7250000000000005,2.120833333333333
5056,5056,2015-11-05,0.175,952.675,952.95,952.325,-3841.441666666667,23.375,20.479166666666668,23.9625,22.945833333333336,20.9375,20.1,86.75,82.0,84.75,192.66666666666663,4.020833333333333,1.3041666666666667
5057,5057,2015-11-06,0.075,954.6416666666668,954.925,954.3833333333332,-3584.7375,23.204166666666666,18.745833333333334,23.77916666666667,22.71666666666667,19.329166666666666,18.445833333333333,80.54166666666667,75.5,77.5,108.875,6.65,3.35
5058,5058,2015-11-07,0.0,953.4458333333332,953.7375,953.2,-3468.2833333333333,25.5125,17.912499999999998,26.191666666666663,24.65416666666667,18.554166666666667,17.279166666666665,68.375,61.0,64.58333333333333,144.04166666666666,4.804166666666666,2.279166666666667
5059,5059,2015-11-08,0.0,951.5208333333334,951.8,951.2541666666666,-3454.6541666666667,27.266666666666666,19.025,27.84583333333333,26.5375,19.65,18.33333333333333,65.25,58.875,62.16666666666666,132.0,6.3500000000000005,3.0666666666666664
5060,5060,2015-11-09,0.0,952.3375,952.6,952.0666666666666,-3546.395833333333,27.570833333333336,19.14583333333333,28.22083333333333,26.9125,19.77083333333333,18.479166666666668,64.91666666666667,58.625,61.66666666666666,68.625,6.895833333333333,3.533333333333333
5061,5061,2015-11-10,0.0,952.8125,953.0916666666668,952.5291666666668,-3424.1041666666665,28.070833333333336,18.629166666666663,28.745833333333334,27.34166666666667,19.304166666666667,18.0875,62.125,55.583333333333336,58.66666666666666,99.08333333333331,6.4375,2.841666666666667
